path,q1,a1,q2,a2,q3,a3
25/25cd1cf0.jpg,What is depicted?,Glass,What is its color?,Clear,What is its shape?,Cylinder
b5/b5136328.jpg,What is in the image?,box,What color is the box?,Green,How many boxes are shown?,One
2b/2bff80c5.jpg,What is depicted?,Device,What color is it?,Black,What is its shape?,Rectangular
06/06582a57.jpg,What is in the image?,Raisins,What color are they?,Brown,What shape is the bag?,Square
0c/0c2abe90.jpg,What is shown?,Ingredients,What color is the background?,Purple,What is listed?,Salt
96/96610668.jpg,What is depicted?,Pen,What color is the tip?,Red,How many pens are shown?,One
2d/2d09ff77.jpg,What item is visible?,House,What color is it?,Beige,What shape is it?,House
17/17c00fb4.jpg,What is in the image?,Bulb,What color is it?,White,What is its shape?,Round
b4/b4dd4570.jpg,What is in the image?,Kadai,What color is it?,Black,What shape is it?,Round
23/23d8b8cf.jpg,What is in the image?,Puff,What color is it?,Orange,What shape is it?,Curve
ee/eef698a8.jpg,What is depicted?,Cup,What color is it?,White,What is it made of?,Paper
92/92ce6bd6.jpg,What is pictured?,Handle,What color is it?,Black,What shape is it?,Bar
7d/7db847b1.jpg,What is in the image?,Basket,What color is it?,Beige,What is its shape?,Cylinder
34/34037d73.jpg,What is in the image?,Drawers,What color are they?,White,How many are shown?,Three
5d/5d791a09.jpg,What is in the image?,Table,What color is it?,Merlot,What is its shape?,Rectangular
78/784b58df.jpg,What is depicted?,Bottle,What color is the bottle?,Purple,What's the container's shape?,Cylinder
38/38f1096b.jpg,What is shown?,Peeler,What color is the handle?,Green,What is the blade type?,Straight
82/8241ff50.jpg,What is in the image?,Marker,What color is the marker?,Red,What is the shape?,Cylinder
ca/ca01cb6b.jpg,What is shown?,Light,What color is it?,White,What shape is it?,Square
a6/a6423b42.jpg,What is shown?,Pen,What color is it?,Black,What is the tip made of?,Metal
7e/7ee6a1c1.jpg,What is shown?,Meter,What color is it?,Black,What is attached?,Cord
4d/4de92701.jpg,What is depicted?,Duster,What color is the handle?,Blue,What is the head's shape?,Oval
a2/a2a2eeb5.jpg,What is depicted?,Glass,What is its transparency?,Clear,What is the cup's shape?,Cylinder
02/02608462.jpg,What is in the image?,Tawa,What color is it?,Black,What is its shape?,Round
cf/cf53dcef.jpg,What is in the image?,Sheets,What color are the sheets?,White,What shape are the sheets?,Rectangular
f3/f364f6d4.jpg,What is depicted?,Foil,What color is the box?,Blue,What is the box's shape?,Rectangle
11/11160dbc.jpg,What is in the image?,tube,What color is it?,Teal,What is the container made of?,Plastic
20/2020a01e.jpg,What is depicted?,Bulb,What color is it?,White,What is its shape?,Round
01/01c6de79.jpg,What is shown in the image?,Ingredients,What color is the text?,Black,What is the text about?,Spinach
18/18913436.jpg,What is depicted?,Sheets,What color are the sheets?,White,What is the apparent texture?,Smooth
6a/6a2372b2.jpg,What is shown?,Cups,What color are they?,Pink,What are they made of?,Silicone
aa/aa0af08d.jpg,What is shown?,Ingredients,What word is shown first?,Ingredients,What is the key ingredient?,Chamomile
49/498da308.jpg,What is in the image?,Filter,What color is it?,White,What shape is it?,Cylinder
d5/d5b66c1c.jpg,What is in the image?,Kadai,What color is it?,Black,What is its shape?,Round
7e/7ec56712.jpg,What is the main item?,Stone,What color is it?,Pink,What is the base made of?,Bamboo
0b/0bca775c.jpg,What is in the image?,Container,What color is it?,White,How many are shown?,One
23/231a737f.jpg,What is depicted?,Duster,What color is the handle?,Blue,What is the head made of?,Microfiber
b5/b536e9cc.jpg,What is in the image?,Grater,What color is the handle?,Black,What is the grater made of?,Metal
37/37323196.jpg,What is in the image?,Foil,What color is it?,Silver,What is it made of?,Aluminum
1f/1f325e53.jpg,What is in the image?,Boxes,What color is the lid?,Blue,How many boxes are shown?,Four
90/90cad270.jpg,What is depicted?,Clip,What color are they?,Silver,What is the object's shape?,Oval
15/1590a077.jpg,What is in the image?,Container,What color is the lid?,Blue,What is the container made of?,Plastic
38/3855f2df.jpg,What is in the image?,Binder,What color is it?,Blue,How many are shown?,One
89/8995c94a.jpg,What is depicted?,Binder,What color is it?,Green,How many are shown?,One
37/37229ca3.jpg,What is in the image?,Container,What color is it?,Yellow,What is the container made of?,Plastic
b3/b35bc449.jpg,What is in the image?,Multimeter,What color is it?,Black,What is attached?,Leads
fc/fc472806.jpg,What is shown?,Highlighter,What color is it?,Green,What is the cap?,Black
58/58e3fcad.jpg,What item is visible?,Glass,What is the primary color?,Clear,How many items are present?,One
d9/d96d1404.jpg,What is in the image?,Container,What color is it?,White,What shape is the container?,Square
99/99c593ba.jpg,What is in the image?,Lights,What color are the lights?,Copper,What shape is the light?,Circle
15/1578f24f.jpg,What is in the image?,Tray,What color is it?,White,What shape is it?,Rectangular
37/37581ec3.jpg,What is in the image?,Binder,What color is it?,Red,How many are shown?,One
33/33941b87.jpg,What is in the image?,Bulb,What color is it?,White,What is its shape?,Candle
69/6991ece8.jpg,What is depicted?,Bulb,What is its color?,Clear,What is its shape?,Round
50/5022586f.jpg,What is depicted?,Rack,What color is it?,Black,How many layers?,Three
0e/0e00b1c1.jpg,What is in the image?,Soap,What color is it?,Beige,What is its texture?,Oily
79/79f94c21.jpg,What is in the image?,Wood,What color is it?,Brown,What is the texture?,Wood
2c/2c195660.jpg,What is pictured?,Bulb,What color is it?,White,What is its shape?,Cone
03/03275353.jpg,What is in the image?,Lights,What color are the lights?,Copper,What is the shape?,Circle
12/12932fb6.jpg,What is shown?,Bulb,What color is it?,White,What shape is it?,Round
a8/a8ba6d27.jpg,What is in the image?,Cup,What color is it?,White,What is its shape?,Round
41/415cd617.jpg,What is shown?,Box,What color is it?,White,What is its shape?,Rectangular
1c/1cd4f1fd.jpg,What is in the image?,Sticks,What color is the packaging?,Green,What is the packaging shape?,Rectangular
c4/c4243c04.jpg,What is in the image?,Jars,What is the primary color?,Clear,What is it made of?,Glass
60/60822bf7.jpg,What is in the image?,Cheese,What color is the cheese?,Orange,What shape is the package?,Rectangle
e2/e273609b.jpg,What is in the image?,Massager,What color is it?,White,What is the shape?,Curved
8b/8b866b74.jpg,What is shown?,Fork,What color is it?,White,What is it made of?,Plastic
75/750689f2.jpg,What is in the image?,Bulb,What shape is it?,Cone,What is its primary color?,White
f6/f6fc6f0c.jpg,What is in the image?,Chair,What color is it?,Brown,How many are shown?,One
c3/c3abe748.jpg,What is depicted?,Folder,What color is it?,Black,What is its shape?,Rectangle
9a/9ad51c69.jpg,What is in the image?,Table,What color is it?,White,What is the shape?,Rectangular
20/20c0fec5.jpg,What is in the image?,Tampons,What color are they?,Yellow,How many are there?,Five
c5/c5395f43.jpg,What is in the image?,Cheese,What color is the container?,White,What is the cheese?,Blue
34/34e966af.jpg,What is depicted?,Bin,What color is it?,Silver,What shape is the bin?,Rectangular
f0/f0474d30.jpg,What is in the image?,Brush,What color is the handle?,Black,What is the brush made of?,Bristles
09/0904e315.jpg,What is in the image?,Bulb,What color is it?,White,What shape is it?,Round
d8/d82ee6b7.jpg,What is depicted?,Pitcher,What color is it?,Clear,What is its shape?,Bottle
62/6241d730.jpg,What is in the image?,Container,What color is the container?,Red,What is the container made of?,Metal
7c/7c6484e6.jpg,What is in the image?,Stapler,What color is it?,Black,What is its shape?,Rectangular
fc/fc159fae.jpg,What is in the image?,Brush,What color is the handle?,Green,How many brushes are shown?,One
f1/f1bb760e.jpg,What is depicted?,Pencil,What color is it?,Red,How many are shown?,One
6c/6c2d2060.jpg,What is in the image?,Battery,What color is it?,Silver,How many are shown?,One
7d/7d45b927.jpg,What is in the image?,Stone,What color is it?,Gray,What is it sitting on?,Hand
4d/4dd06ca2.jpg,What is in the image?,Bulb,What is the shape?,Round,What color is it?,White
55/55d6744e.jpg,What is in the image?,bar,What color is it?,silver,What is it made of?,metal
57/5708e5c8.jpg,What is depicted?,Chair,What color is it?,Beige,How many chairs are shown?,One
99/9977f64f.jpg,What is in the image?,Crisp,What color is it?,Green,What shape is it?,Rectangle
8b/8b486736.jpg,What is in the image?,Cleaner,What color is the packaging?,Yellow,What shape is the package?,Packet
1e/1e5d2875.jpg,What is in the image?,Filter,What color is it?,White,How many are shown?,One
c5/c5a62239.jpg,What's pictured?,Marker,What color is it?,Orange,What's the tip like?,Chisel
1e/1e9d9f4e.jpg,What is in the image?,Chair,What color is it?,White,How many chairs are shown?,One
30/30ec4819.jpg,What is shown?,Chip,What color is it?,Yellow,What shape is it?,Oval
5d/5d92fb16.jpg,What is pictured?,Bottle,What color is the bottle?,White,What shape is the bottle?,Cylinder
10/1070ccc2.jpg,What is depicted?,Pacifier,What color is it?,Green,How many are shown?,One
62/62aaf87a.jpg,What is depicted?,Glass,What is the cup's primary color?,Clear,What material is shown?,Glass
7e/7e63da06.jpg,What is depicted?,Cover,What color is it?,Black,What is its shape?,Cuboid
c4/c4d9b0bf.jpg,What is in the image?,Table,What shape is the top?,Round,What color is it?,Oak
5d/5d4d3e4b.jpg,What is depicted in the image?,Box,What color is the box?,White,What is the box made of?,Cardboard
25/253f5e24.jpg,What is shown?,Okra,What color is the text?,Black,What is listed?,Ingredients
37/378c7d79.jpg,What is shown?,Bottle,What color is it?,Green,How many are shown?,One
2d/2d223a35.jpg,What is in the image?,Bowl,What color is it?,White,What is its shape?,Round
23/238e01a8.jpg,What is shown?,Wood,What color is it?,Beige,What is on the end?,Grey
7d/7d3970e8.jpg,What is depicted?,Handle,What color is it?,Black,What is its shape?,Bar
07/078bb2f8.jpg,What is in the image?,Bottle,What color is the bottle?,Brown,What shape is the bottle?,Cylinder
3d/3d45b60d.jpg,What is in the image?,Chair,What color is the leg?,Wood,What is the leg made of?,Wood
95/95ad3fd9.jpg,What is in the image?,Paper,What color is the item?,White,What is the item's shape?,Rectangle
c2/c2916470.jpg,What is in the image?,Slicer,What color is it?,Green,What is its shape?,Teardrop
c9/c926dd0b.jpg,What item is visible?,Dispenser,What color is it?,Black,What is attached?,Clip
32/320e4628.jpg,What is depicted?,Bowl,What color is it?,White,What is its shape?,Oval
f8/f87bc850.jpg,What item is visible?,Broom,What is the primary color?,Black,How many items are present?,Two
86/86736062.jpg,What is shown?,Locks,What color are they?,Brass,How many are there?,Two
3d/3d681cf1.jpg,What is shown?,Grater,What color is the handle?,Black,What is the main material?,Metal
06/065d24e5.jpg,What is in the image?,Paks,What color are the paks?,Yellow,How many are there?,Three
11/114cfc92.jpg,What is in the image?,Hinge,What color is it?,Bronze,What is its shape?,Rectangular
4c/4c22d456.jpg,What item is visible?,Marker,What color is it?,Black,How many are shown?,One
af/af59650b.jpg,What is in the image?,cable,What is the primary color?,black,How many items are present?,one
90/90e0196e.jpg,What is in the image?,File,What color is it?,Blue,What is its shape?,Rectangular
9f/9f4e8eb4.jpg,What is shown?,Ingredients,What color is the text?,Black,What is the text about?,Oil
4d/4dff7e5e.jpg,What item is visible?,Container,What color is it?,White,What shape is it?,Rectangular
22/229d0df4.jpg,What is in the image?,Glass,What is the shape?,Flute,What color is it?,Clear
c8/c89ae7b1.jpg,What is in the image?,Cream,What color is the tube?,Blue,What is the cap color?,Gold
58/58c466a6.jpg,What is shown?,Ingredients,What color is the text?,Black,What is listed?,Tea
fd/fdafbf92.jpg,What is depicted?,Handle,What color is it?,Black,What shape is it?,Curve
33/33191d49.jpg,What is shown?,Ingredients,What color is it?,Teal,What is listed?,Milk
39/395de32c.jpg,What is in the image?,Box,What color is the box?,White,What is the box's shape?,Rectangular
e8/e8fc2102.jpg,What is depicted?,Marker,What color is it?,Black,What is its shape?,Cylinder
1b/1b2ff1c7.jpg,What is pictured?,Highlighter,What color is it?,Green,How many are shown?,One
7b/7ba29dd5.jpg,What item is visible?,Binder,What color is it?,Blue,How many?,Twelve
01/01e8f5bb.jpg,What is in the image?,Bulb,What color is it?,White,What is its shape?,Cone
31/31b6d5fd.jpg,What is shown?,Bulb,What color is it?,White,How many are shown?,One
ea/ea573f4b.jpg,What is depicted?,Stand,What color is it?,Chrome,What is its shape?,Metal
01/01782a75.jpg,What is shown in the image?,Mug,What color is the mug?,Clear,What is the mug made of?,Glass
dc/dcb8f358.jpg,What is in the image?,Glass,What shape is it?,Cup,Is it transparent?,Yes
c1/c15f0d75.jpg,What is in the image?,Broom,What color is it?,Black,How many are shown?,One
fd/fd45d409.jpg,What is depicted?,Glass,What color is the glass?,Clear,What is the glass's shape?,Stemmed
ff/ff5eaf75.jpg,What is shown?,Highlighter,What color is it?,Red,What is the cap?,Black
7b/7b74d5ec.jpg,What is pictured?,Brush,What color is it?,Blue,What is its shape?,Rectangular
b6/b67be37a.jpg,What item is visible?,Toothbrush,What color are the bristles?,Green,What is the handle made of?,Bamboo
4f/4ff0da96.jpg,What is shown?,Glass,What color is it?,Clear,What is its shape?,Glass
fe/fe7b2a61.jpg,What is depicted?,Bulb,What color is it?,White,What is its shape?,Candle
2f/2fdd38cd.jpg,What is depicted?,Chair,What color is the seat?,Brown,What color are the legs?,Wood
81/81b619d7.jpg,What is depicted?,Bulb,What color is it?,Clear,What is its shape?,Round
f6/f6f0ed96.jpg,What is depicted?,Plate,What color is it?,White,What is its shape?,Square
72/72301f3d.jpg,What is shown?,Light,What color is it?,White,What shape is it?,Round
62/623910b1.jpg,What is in the image?,Blocks,What color are the blocks?,Beige,What is the shape of the structure?,Tower
e2/e26853b6.jpg,What is in the image?,Cart,What color is it?,Beige,What is the primary color?,Beige
84/84a5b627.jpg,What is in the image?,Spoon,What color is it?,White,What is it made of?,Plastic
c5/c5385958.jpg,What is in the image?,Sheets,What color are the sheets?,White,What is the shape of the item?,Rectangle
93/93fb76c5.jpg,What is depicted?,Lighter,What color is it?,Silver,What is its shape?,Cylinder
d3/d389f714.jpg,What is in the image?,Wrap,What color is it?,Clear,How many?,Two
36/366d83da.jpg,What is depicted?,Glass,What color is it?,Clear,What is its shape?,Pint
35/35ec560d.jpg,What is in the image?,Sugar,What color is the bag?,White,What is the primary text?,Sugar
06/06a3e66b.jpg,What is depicted?,Meter,What color is it?,Black,What is its shape?,Rectangular
c3/c3992573.jpg,What is depicted?,Bottle,What color is the bottle?,Brown,What is the container made of?,Plastic
35/35fad800.jpg,What is depicted?,Bulb,What color is it?,White,What is its shape?,Round
7c/7c2660a4.jpg,What is in the image?,Bottle,What color is it?,White,What is its shape?,Cylinder
41/4152cb0d.jpg,What is depicted?,Bulb,What color is it?,White,What is its shape?,Cone
76/7604cedd.jpg,What is in the image?,container,What color is the container?,clear,What is the container made of?,plastic
3e/3e2ef0fa.jpg,What is depicted?,Fork,What color is it?,White,What is it made of?,Plastic
d8/d891d55d.jpg,What item is visible?,Rod,What color is it?,Blue,What is it made of?,Metal
86/86a39ee8.jpg,What is shown?,Fork,What color is it?,White,What is it made of?,Plastic
16/168abd23.jpg,What is in the image?,Cards,What color are the cards?,White,What is the shape?,Rectangle
3f/3feb715c.jpg,What is shown?,Marker,What color is it?,Pink,What is its shape?,Long
8b/8bf64264.jpg,What is depicted?,Knife,What color is the handle?,Black,What is the blade made of?,Steel
20/20695015.jpg,What is pictured?,Shelf,What color is it?,White,How many shelves are there?,Four
9d/9db77085.jpg,What is in the image?,Container,What color is the container?,White,How many containers are shown?,One
58/583d3cab.jpg,What is shown?,Box,What color is it?,White,How many are shown?,One
48/4803ad60.jpg,What is depicted?,Grater,What color is the handle?,Black,What is the grater made of?,Metal
d2/d21ae98a.jpg,What is depicted?,Napkin,What color is it?,White,What is its shape?,Rectangle
6c/6c8e7dc4.jpg,What is in the image?,Box,What color is it?,White,What shape is it?,Rectangular
d9/d959f3a7.jpg,What is depicted?,Bulb,What color is it?,White,What is its shape?,Cone
5b/5b298416.jpg,What is in the image?,Pan,What color is it?,Silver,What is it made of?,Steel
80/80490b7e.jpg,What is in the image?,Glass,What is its shape?,Cylinder,What is its primary color?,Clear
f8/f8e94fac.jpg,What is depicted?,Mat,What color is it?,Black,What is its shape?,Rectangle
2c/2c07fcba.jpg,What is in the image?,Glass,What is the primary color?,Clear,What is it made of?,Glass
05/0594dee2.jpg,What is in the image?,Broom,What color is the handle?,Blue,What is the broom made of?,Plastic
d0/d0896090.jpg,What is depicted?,Handle,What color is the handle?,Yellow,What is the handle's primary material?,Metal
4b/4be0f8a7.jpg,What is depicted?,Bottle,What color is the top?,Red,What is the bottle held in?,Hand
bc/bcf1c4fe.jpg,What is in the image?,Containers,What is the primary color?,Clear,What shape are they?,Round
19/193ecba0.jpg,What item is visible?,Marker,What color is the marker?,Black,What is the marker's shape?,Pen
f8/f8eb7e09.jpg,What is in the image?,Container,What color is the container?,Clear,What is the container made of?,Plastic
66/663d1809.jpg,What is in the image?,Bulb,What color is it?,White,What is its shape?,Round
18/187dc993.jpg,What is depicted?,Spool,What color is the box?,Brown,What is the box made of?,Cardboard
31/31dcda0f.jpg,What is in the image?,Duster,What color is it?,White,How many are shown?,One
86/86c0a228.jpg,What is in the image?,Putty,What color is the tin?,Green,How many tins?,One
5b/5b727cc0.jpg,What is depicted?,Bulb,What color is it?,White,What is its shape?,Round
70/7090d9d5.jpg,What is in the image?,Notebook,What color is it?,Black,What is its shape?,Rectangle
b9/b96feddf.jpg,What is in the image?,Basket,What color is it?,Blue,What shape is it?,Round
d6/d69733fc.jpg,What is pictured?,Tweezer,What color is it?,Silver,How many are shown?,One
19/19db2e5f.jpg,What is in the image?,Guacamole,What color is it?,Green,What shape is the container?,Round
36/36284f67.jpg,What is in the image?,Refills,What color is the packaging?,Blue,How many are there?,Four
46/46bb7376.jpg,What is in the image?,Container,What color is the box?,Red,What is the box holding?,Saffron
22/225ed82c.jpg,What is in the image?,Dispenser,What color is the dispenser?,Black,What is attached to the dispenser?,Leash
d9/d9205e47.jpg,What is in the image?,Cooler,What color is it?,White,What shape is it?,Rectangular
24/24d71be8.jpg,What is in the image?,Filter,What color is it?,White,What shape is it?,Cylinder
03/03de5042.jpg,What is in the image?,Bulb,What color is it?,White,What is its shape?,Round
6d/6d32a1ed.jpg,What item is visible?,Highlighter,What color is it?,Yellow,What is its shape?,Chisel
31/3150b3f2.jpg,What is depicted?,Roller,What color is it?,Red,What is its shape?,Cylinder
48/48982330.jpg,What is in the image?,Roll,What color is the packaging?,Brown,What shape is the object?,Roll
fc/fcc48002.jpg,What item is visible?,Baskets,What is the primary color?,Beige,How many items are present?,Four
52/520592f1.jpg,What is in the image?,Meter,What color is it?,Black,What shape is it?,Rectangular
9b/9bbc6436.jpg,What is pictured?,Brush,What color is the handle?,White,What is the brush made of?,Nylon
c0/c05c88d8.jpg,What is in the image?,Divider,What color is it?,Blue,What is its texture?,Cardboard
f6/f66b6628.jpg,What is in the image?,Filter,What color is it?,Black,What is its shape?,Cylinder
8d/8d20005a.jpg,What is in the image?,Bowl,What color is it?,White,How many are shown?,One
a3/a33c76db.jpg,What is depicted?,Bulb,What color is it?,White,What is its shape?,Cone
cb/cbd2bcec.jpg,What item is visible?,Pan,What color is it?,Red,What is it made of?,Iron
63/633bea1a.jpg,What is shown?,Caddy,What color is it?,White,What is it made of?,Plastic
7b/7b55f3a5.jpg,What is in the image?,Glass,What is the primary color?,Clear,What shape is it?,Glass
f5/f5a3f6a7.jpg,What is in the image?,Peeler,What color is the handle?,Gray,What is the peeler's shape?,Oval
7b/7b4c89ff.jpg,What is in the image?,Bottle,What color is it?,Beige,How many bottles?,One
58/5844f94d.jpg,What is depicted?,Filter,What color is it?,Red,What is its shape?,Cylinder
78/781de9bd.jpg,What is in the image?,Bottle,What color is the bottle?,Brown,What is the cap made of?,Plastic
c3/c3296231.jpg,What is in the image?,Box,What color is the box?,Purple,What is the shape of the box?,Rectangle
6e/6e8ea8cc.jpg,What is in the image?,Holder,What color is the bottom?,Blue,How many sections are there?,Two
b3/b3327be6.jpg,What is in the image?,Table,What color is the table?,Wood,What is the table made of?,Wood
77/772bab7b.jpg,What is depicted?,Bulb,What color is it?,White,What is its shape?,Round
1b/1be12fd3.jpg,What is in the image?,Roll,What color is the roll?,White,What shape is the roll?,Round
2f/2fe69266.jpg,What is in the image?,Filter,What color is it?,White,How many are shown?,One
e3/e380a5df.jpg,What is shown?,Light,What color is it?,White,How many are shown?,One
89/89f990a0.jpg,What is depicted?,Binder,What color is it?,Green,What is its shape?,Round
68/68ee6999.jpg,What is in the image?,Bulb,What shape is it?,Round,What color is it?,White
90/9001b0f6.jpg,What is in the image?,Pack,What color is it?,Blue,What shape is it?,Square
9d/9d79d3f8.jpg,What is the primary color?,Teal,What is shown?,Ingredients,What color is the background?,Turquoise
4e/4e75e2e9.jpg,What item is visible?,Tawa,What color is it?,Black,What shape is the cooking surface?,Round
d4/d40ab213.jpg,What is in the image?,Bulb,What color is it?,White,How many are shown?,One
33/337c1698.jpg,What is in the image?,Bottle,What color is the cap?,Red,What is the primary color of the bottle?,Black
65/65d595b0.jpg,What is pictured?,Straw,What color is it?,Clear,What is its shape?,Tube
48/482cb78f.jpg,What is in the image?,Glass,What is its shape?,Cup,What is its color?,Clear
ab/abbddff4.jpg,What is in the image?,Stick,What color is it?,Brown,What shape is it?,Stick
0f/0fdbc3bc.jpg,What is shown in the image?,Binder,What color is the binder?,Black,How many binders are shown?,One
7a/7afeaded.jpg,What is in the image?,Pack,What color is it?,Pink,What shape is it?,Square
7b/7b8377cd.jpg,What is in the image?,Cup,What color is it?,White,What is it made of?,Paper
ce/cefda663.jpg,What is shown in the image?,Binder,What color is the binder?,Red,How many binders are shown?,One
3a/3ae18f50.jpg,What is depicted?,sticks,What color are they?,brown,How many pairs are shown?,Two
14/141e796c.jpg,What is in the image?,Stand,What color is it?,White,How many compartments are there?,Three
96/96c3b4a4.jpg,What is in the image?,Jars,What shape are they?,Square,What is their color?,Clear
6d/6d4ea80d.jpg,What is in the image?,Lights,What color are the lights?,Copper,What shape are the lights?,Circle
db/dbebe2ea.jpg,What item is visible?,Binder,What color is it?,Blue,How many are shown?,One
b9/b9c5205d.jpg,What is pictured?,Binder,What color is it?,Green,What is its shape?,Rectangular
ae/ae874f49.jpg,What is in the image?,Box,What color is the box?,White,How many are shown?,Four
